"","source","target","value"
"ask.shoot","ask","shoot",2.6
"ask.know","ask","know",2.1
"ask.may","ask","may",2.1
"chat","chat","rad8ny",2.6
"dates.chiropractor","dates","chiropractor",2.6
"dates.cuddles","dates","cuddles",2.6
"dates.cuddlestalking","dates","cuddlestalking",2.6
"dates.cuz","dates","cuz",2.6
"dates.ря’Ѓ","dates","ря’Ѓ",2.6
"dates.fucked","dates","fucked",2.6
"dates.marry","dates","marry",2.6
"dates.sounds","dates","sounds",2.6
"dates.yeh","dates","yeh",2.6
"dates.sound","dates","sound",2.2
"face.send","face","send",3.2
"face.reply","face","reply",2.5
"face.first","face","first",2.2
"face.without","face","without",2.2
"friends","friends","benefits",2.1
"fun.loving","fun","loving",2.1
"fun.opposed","fun","opposed",2.1
"fun.safe","fun","safe",2.1
"fun.nsa","fun","nsa",2
"good.buena","good","buena",2.3
"good.conversations","good","conversations",2.3
"good.energy","good","energy",2.3
"good.favoritechattings","good","favoritechattings",2.3
"good.master","good","master",2.3
"good.onda","good","onda",2.3
"good.oralvers","good","oralvers",2.3
"good.phenomenon","good","phenomenon",2.3
"good.stimulating","good","stimulating",2.3
"guys.accordingly","guys","accordingly",2.8
"guys.act","guys","act",2.8
"guys.perspective","guys","perspective",2.8
"guys.tattooed","guys","tattooed",2.6
"guys.age","guys","age",2.5
"guys.extra","guys","extra",2.1
"just","just","checking",2.2
"like.change","like","change",2.2
"like.put","like","put",2.2
"love.childhood","love","childhood",3.6
"love.examples","love","examples",3.6
"love.influence","love","influence",3.6
"love.loved","love","loved",3.6
"love.myriad","love","myriad",3.6
"love.str8","love","str8",3.6
"love.gays","love","gays",3.3
"love.street","love","street",2.5
"new.york","new","york",2.9
"new.meeting","new","meeting",2.7
"new.appreciated","new","appreciated",2.4
"new.area","new","area",2.4
"new.bigoted","new","bigoted",2.4
"new.camera","new","camera",2.4
"new.devices","new","devices",2.4
"new.enabled","new","enabled",2.4
"new.encounters","new","encounters",2.4
"new.excuse","new","excuse",2.4
"new.experience","new","experience",2.4
"new.fitnessgym","new","fitnessgym",2.4
"new.forget","new","forget",2.4
"new.hampshire","new","hampshire",2.4
"new.ignorant","new","ignorant",2.4
"new.intelligenceconversations","new","intelligenceconversations",2.4
"new.memories","new","memories",2.4
"new.nomediocer","new","nomediocer",2.4
"new.ones","new","ones",2.4
"new.rude","new","rude",2.4
"new.sad","new","sad",2.4
"new.yorker","new","yorker",2.4
"nice.handle","nice","handle",2.4
